,날짜,종가,경상수지,달러인덱스,외환보유고
0,1987-01-01,860.6,584.8,100.49,8300473
1,1987-02-01,858.6,543.9,99.48,8360079
2,1987-03-01,850.8,650.2,97.61,7845925
3,1987-04-01,837.9,510.8,96.19,7912637
4,1987-05-01,826.4,735,97.89,7941957
5,1987-06-01,812.6,914.7,98.6,8028218
6,1987-07-01,811.7,1017.10,100.04,8195632
7,1987-08-01,811.4,252.2,97.43,8081344
8,1987-09-01,809.5,952.4,98.96,8464787
9,1987-10-01,805.1,630.3,93.78,8477982
10,1987-11-01,800,953.6,89.19,9434201
11,1987-12-01,795.9,886.2,85.66,9144023
12,1988-01-01,785.1,702.2,90.48,4639135
13,1988-02-01,764.3,883.1,90.54,5622375
14,1988-03-01,749.6,1137.80,88.47,6942378
15,1988-04-01,743.3,766.4,89.21,7622063
16,1988-05-01,736.2,813.3,91.07,8218683
17,1988-06-01,731.6,1161.80,95.37,8969919
18,1988-07-01,726.6,1152.10,97.58,9546736
19,1988-08-01,724.9,722.8,98.44,10678072
20,1988-09-01,721.9,1328.20,97.78,11720520
21,1988-10-01,704.3,1163.70,93.89,12644429
22,1988-11-01,690.3,1251.20,90.6,13735965
23,1988-12-01,687.4,1675.10,92.29,12340016
24,1989-01-01,683.4,409.9,96.79,13366476
25,1989-02-01,675.8,375.7,94.87,13458710
26,1989-03-01,674.6,492.6,98.12,14086873
27,1989-04-01,668.9,348,97.74,14878492
28,1989-05-01,669.4,265.8,103.03,15694704
29,1989-06-01,669.9,342.8,102.22,15638771
30,1989-07-01,670.1,354.4,97.41,16902149
31,1989-08-01,671.9,-229.2,102.46,16491763
32,1989-09-01,672.7,627.5,98.56,16912793
33,1989-10-01,674.2,2.4,98.41,17261259
34,1989-11-01,675.3,99.3,96.32,17135806
35,1989-12-01,681.4,677.2,93.93,14977832
36,1990-01-01,689,-296.8,92.82,13653871
37,1990-02-01,696.7,-300.8,93.49,13433768
38,1990-03-01,703.7,-391.8,94.2,13586715
